reviewer,rating,comment,date,helpful,reply,shopid,itemid
imsun__,5,Đóng gói sản phẩm cẩn thận săn sale được giá rẻ hơn chút ít màu sắc nhẹ nhàng cầm rất êm tay chất lượng tuyệt vời rất hài lòng về sản phẩm 👍🏻,2024-08-29,0,,1044352529,15098306158
ducphat204,5,"Shop giao hàng nhanh, đóng gói kỹ, sản phẩm chất lượng. Mình đặt nhầm cáp nên có bạn nào muốn mua mình pass 180k nhanh lẹ zui zẻ. ZL 0903041 năm ba ba",2024-02-02,0,,1044352529,15098306158
n*****8,5,"Chất lượng sản phẩm:tot
Đúng với mô tả:đúng mô tả

Mua nhầm dây Type C, chất lượng dv tốt, sp tốt, ủng hộ lâu dài",2024-07-16,0,,1044352529,15098306158
thlang225,5,"Đúng với mô tả:ok
Chất lượng sản phẩm:ok

Đã nhận được hàng rồi, shop giao đúng sản phẩm, đúng màu, gói hàng cẩn thận, giao hàng nhanh, shiper vui vẻ, rất vừa ý.",2024-07-11,0,,1044352529,15098306158
t*****2,5,"Đúng với mô tả:ok
Chất lượng sản phẩm:ok

Mới bóc ra dùng test thử với ip15 thấy ok. Dây sạc dài 1.8m rất dài… Shop giao hàng từ hcm ra HN nhanh và có nhắn tin update chu đáo. Hết màu đen nhưng màu trắng cũng ok..",2024-02-23,0,,1044352529,15098306158
phuonganhtranle,5,"Đúng với mô tả:dung
Chất lượng sản phẩm:tốt

Shop mall bán hàng chất lượng, an tâm. Giá cả hợp lý. Mình mua của shop 4-5 lần rùi. Sp shop giao nhanh đặt 1-2 ngày về tay rùi. Shop gói hàng cẩn thận và nhanh. Sẽ ủng hộ. Hình ảnh chỉ mang tính chất nhận xu",2024-02-06,0,,1044352529,15098306158
m*****s,5,"Tốc độ:nhanh cực
Thiết kế:thiết kế nhỏ gọn, tiện dụng

Giao hàng nhanh chóng, đóng gói kỹ càng, cầm rất chắc  chắn.",2026-03-05,0,,1044352529,15098306158
g*****p,5,"Một sản phẩm của thương hiệu quá nổi tiếng. Củ sạc nhanh cầm nhám rất thích tay, dây thì chống rối",2024-02-23,0,,1044352529,15098306158
nguyenkhoiduongtu90,5,"Sản phẩm nhận được đúng như hình ảnh và mô tả từ shop. Chất lượng tương đối tốt so với mức giá. Đóng gói cẩn thận, không bị móp méo hay hư hỏng. Thời gian giao hàng nhanh, nhân viên giao hàng thân thiện. Sẽ cân nhắc mua lại nếu có nhu cầu.",2026-02-27,0,,1044352529,15098306158
pham_nhung0404,5,"Sạc nhanh, dễ dùng, k bị nóng máy. Mn nên mua nhé. Ưng quá nên mua lần 2 cho thằng em",2024-04-09,0,,1044352529,15098306158
khanhka16,5,"Đúng với mô tả:dung
Chất lượng sản phẩm:ok

Hàng sạc của anker thì xịn xò rồi... jejcisbchsxhfcsxjhf",2024-04-15,0,,1044352529,15098306158
vng123,5,"Màu xanh đẹp, nhỏ gọn quá sức tưởng tượng, chất lượng chưa xài chưa biết có nhanh thật sự hay không chớ giá này là hơi cao một chút á",2024-08-12,0,,1044352529,15098306158
kitkat0702,5,"Giao hàng nhanh, sản phẩm anker chất lượng rất tốt, sẽ ủng hộ tiếp",2024-03-14,0,,1044352529,15098306158
t*****4,5,"Chất lượng sản phẩm:ok
Đúng với mô tả:ok

Sản phẩm giao hàng nhanh, đóng gói cẩn thận màu xanh xinh",2024-08-03,0,,1044352529,15098306158
t*****8,5,"Đúng với mô tả:đẹp, cắm vào nhận điện trực tiếp rất vừa vặn, sạc nhanh đúng chuẩn",2024-07-12,0,,1044352529,15098306158
huynhminhkhang2206,5,Kh is a little too big to go out and watch her for the first week or,2024-08-25,0,,1044352529,15098306158
kemlanh1810,5,Xịn lắm mà vừa mở ra thì phát hiện mình mua nhầm cap sạc vì dùng iphone 11. Bạn nào ở HN cần mua thì mình pass nhanh 300K cả củ + cáp ạ. Zalo 0.9.3.6.3.0.0 ba năm tám. Mới unbox hôm 6.7,2024-07-06,0,,1044352529,15098306158
n*****3,5,Hàng đẹp giá tốt chất lượng sản phẩm tốt gial hàng nhanh hệkđ id,2024-07-16,0,,1044352529,15098306158
caythongxanh,5,"Đóng gói cẩn thận, có thể thấy tâm huyết của người bán. Hộp không bị móp méo, vận chuyển rất tốt.",2026-03-05,0,,1044352529,15098306158
linhbui139,5,ship hơi lâu. tận 4-5 ngày mới nhận đc. sạc nhanh trc 80% thì vẫn nóng đt. nhưng sau 80% là êm ru nha.,2024-08-06,0,,1044352529,15098306158
